_id,nome,endereco,telefone,site,latitude,longitude
1,Albergue Piratas da Praia Hostel,"Avenida Conselheiro Aguiar, nş 2034/307, 3ş andar - Boa Viagem, Recife - PE- CEP: 51111-010",(81) 3326 1281 / (81) 9649 6887,www.piratasdapraia.com,-8.107019,-34.889533
2,Boa Viagem Hostel,"Rua Aviador Severiano Lins, 455 - Boa Viagem, Recife - PE - CEP: 51111-050",(81) 3326 9572 / Fax: (81) 3326 9572,www.hostelboaviagem.com.br,-8.110046,-34.894322
3,Imperial Suítes Flat,"Rua Antônio Lumack do Monte, 203, Boa Viagem, Recife - PE - CEP: 51.020-350",(81)2122.0525,"",-8.117141,-34.901665
4,MercureAptMetrópolis,"Rua Estado de Israel, 203, Ilha do leite, Recife - PE - CEP: 50.070-420",81 3087 3700,"",-8.064499,-34.894286
5,MercureApt Navegantes Residence Hotel,"Rua dos Navegantes, 1706. Boa Viagem, CEP: 51.020-010",81 4009 1185,www.mercure.com.br,-8.118182,-34.894833
6,TulipInn Recife Flat,"Rua Dr. Luiz Inácio Pessoa de Melo, 81, Boa Viagem, Recife - PE - CEP: 51.030-320",81 3202.8100,"",-8.139897,-34.905175
7,Park Way Home Service,"Rua Professor Joăo Medeiros, 675, Boa Viagem, Recife - PE - CEP: 51.021-370",81 3465 6682,"",-8.123057,-34.901298
8,Atlante Plaza,"Av. Boa Viagem, 5426, Boa Viagem, Recife - PE - CEP: 51.030-000",81 3302 3333,www.atlanteplaza.com.br,-8.136259,-34.90194
9,Best Western Manibu Recife Hotel,"Av. Conselheiro Aguiar, 919, Boa Viagem, Recife - PE - CEP: 51.011-031",81 3084 2811,www.hotelmanibu.com.br,-8.098362,-34.885681
10,Boa Viagem Praia H.W.F.,"AV. Boa Viagem, 5576, Boa Viagem, Recife - PE- CEP: 51.030-000",81 3462 6454,www.boaviagempraia.com.br,-8.137725,-34.90228
11,Canárius Palace Hotel,"Rua dos Navegantes, 435, Boa Viagem, Recife- PE - CEP: 51.021-010",81 3465 1532,"",-8.128326,-34.899199
12,Central (Recife),"Av. Manoel Borba, 209, Boa Vista, Recife - PE- CEP: 50.070-000",81 3222 2353,"",-8.061025,-34.887612
13,Fator Palace Hotel,"Rua dos Navegantes, 157, Boa Viagem, Recife - PE- CEP: 51.021-010",81 3465 0040,"",-8.130763,-34.900062
14,Golden Tulip recife Palace,"Av. Boa viagem, 4070, Recife - PE- CEP: 51.021-000",81 32018200,"",-8.125075,-34.897204
15,Hotel Vila Rica,"Av. Boa viagem, 4308, Boa Viagem, Recife - PE- CEP: 51.021-000",81-2121. 5111,"",-8.127104,-34.897901
16,Internacional Palace Lucsim Hotel,"Av. Boa Viagem, 3722, Boa Viagem, Recife - PE- CEP: 51.021-000",81 4009 2500,"",-8.122091,-34.896281
